time,"No,1","No,2","No,3","No,4","No,5","No,6","No,7","No,8","No,9","No,10","No,11","No,12","No,13","No,14","No,15"
0.10000014305114746,5.969920503335508,2.0136190214669587,7.5047309221014675,9.729218859219372,3.631092660160949,1.224746166238561,1.9611550507852515,0,0.7750200424724975,1.1771939655875783,1.7568696391026253,4.790973426268367,0,0.932331921539269,0,0
0.20000004768371582,5.969920503335508,2.022498465613036,7.537824490618512,9.772121739319532,3.6471046684511967,1.2086857487959175,1.9525449247301168,0,0.7515132874496564,1.187598987433885,1.7262192480800926,4.625264744090525,0,0.932331921539269,0,0
0.30100011825561523,5.9437105572875035,1.978489374392008,7.47178264540948,9.729218859219372,3.631092660160949,1.224746166238561,1.9525449247301168,0,0.7614990237108463,1.1980959775392783,1.7802140525073527,4.666146690578583,0,0.9364432202182423,0,0
0.4010000228881836,5.814376812637287,1.9611550507852515,7.47178264540948,9.686504337100208,3.6151509499380157,1.1771939655875783,1.8850109149199077,0,0.7887811376395809,1.2086857487959175,1.811823164081009,4.645660747265969,0,0.932331921539269,0,0
0.5,5.687857339870604,1.943972600005711,7.406319418782513,9.601637062617552,3.6151509499380157,1.2086857487959175,1.9611550507852515,0,0.7750200424724975,1.2140156833476752,1.811823164081009,4.604958286184995,0,0.9364432202182423,0,0
0.6000001430511475,5.61327097597687,1.9354379106515591,7.373803201477422,9.601637062617552,3.6151509499380157,1.2033792144380089,1.978489374392008,0,0.7750200424724975,1.219369121280981,1.8198127502025716,4.584740980415716,0,0.932331921539269,0,0
0.7000000476837158,5.539662682619451,1.9016722131626984,7.309198411296923,9.601637062617552,3.6151509499380157,1.1980959775392783,2.049372423270938,0,0.748213892975742,1.2140156833476752,1.7880642521125318,4.584740980415716,0,0.9364432202182423,0,0
0.8010001182556152,5.491127518945749,1.8850109149199077,7.27710858767076,9.601637062617552,3.631092660160949,1.1928359358160943,2.040374993469957,0,0.748213892975742,1.2140156833476752,1.811823164081009,4.645660747265969,0,0.9364432202182423,0,0
0.9000000953674316,5.491127518945749,1.8850109149199077,7.27710858767076,9.601637062617552,3.631092660160949,1.1928359358160943,2.040374993469957,0,0.748213892975742,1.2140156833476752,1.811823164081009,4.645660747265969,0,0.9364432202182423,0,0
1.0,5.467019634103084,1.8684955928643971,7.27710858767076,9.559482667220976,3.631092660160949,1.2140156833476752,2.049372423270938,0,0.7416584967649851,1.2140156833476752,1.811823164081009,4.645660747265969,0,0.932331921539269,0,0
