time,"No,1","No,2","No,3","No,4","No,5","No,6","No,7","No,8","No,9","No,10","No,11","No,12","No,13","No,14"
0.10000014305114746,0.7351605296134949,0.0,0.0,0.0,0.0,0.6791818141937256,0.6821768283843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20100021362304688,0.7351605296134949,0.0,0.0,0.0,0.0,0.6821768283843994,0.6821768283843994,0.0,0.0,0.6791818141937256,0.0,0.0,0.0,0.0
0.30100011825561523,0.7351605296134949,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4140000343322754,0.7351605296134949,0.0,0.0,0.0,0.0,0.6821768283843994,0.6821768283843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5080001354217529,0.7351605296134949,0.0,0.0,0.0,0.0,0.6791818141937256,0.6821768283843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6019999980926514,0.7351605296134949,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7110002040863037,0.7351605296134949,0.0,0.0,0.0,0.0,0.6821768283843994,0.6791818141937256,0.0,0.0,0.6791818141937256,0.0,0.0,0.0,0.0
0.8050000667572021,0.7384023666381836,0.0,0.0,0.0,0.0,0.6791818141937256,0.6821768283843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9140000343322754,0.7351605296134949,0.0,0.0,0.0,0.0,0.0,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.008000135421753,0.7351605296134949,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1019999980926514,0.7319329380989075,0.0,0.0,0.0,0.0,0.6791818141937256,0.6821768283843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2110002040863037,0.7351605296134949,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3050000667572021,0.7384023666381836,0.0,0.0,0.0,0.0,0.6791818141937256,0.6821768283843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4140000343322754,0.7384023666381836,0.0,0.0,0.0,0.0,0.0,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.502000093460083,0.7351605296134949,0.0,0.0,0.0,0.0,0.6791818141937256,0.6821768283843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6010000705718994,0.7384023666381836,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.6791818141937256,0.0,0.0,0.0,0.0
1.7000000476837158,0.7384023666381836,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.6791818141937256,0.0,0.0,0.0,0.0
1.8010001182556152,0.7351605296134949,0.0,0.0,0.0,0.0,0.6821768283843994,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9020001888275146,0.7384023666381836,0.0,0.0,0.0,0.0,0.6791818141937256,0.6821768283843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.001000165939331,0.7384023666381836,0.0,0.0,0.0,0.0,0.6791818141937256,0.6821768283843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1000001430511475,0.7384023666381836,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.201000213623047,0.7384023666381836,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3010001182556152,0.7351605296134949,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4000000953674316,0.7351605296134949,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.6791818141937256,0.0,0.6791818141937256,0.0,0.0,0.0,0.0
2.501000165939331,0.7384023666381836,0.0,0.0,0.0,0.0,0.6791818141937256,0.6791818141937256,0.0,0.0,0.6791818141937256,0.0,0.0,0.0,0.0
