time,"No,1","No,2","No,3","No,4","No,5","No,6","No,7","No,8","No,9","No,10","No,11","No,12","No,13","No,14","No,15"
0.1119999885559082,21.012838567829768,9.601637062617552,19.498423405316053,34.39577067379268,19.15825343004055,13.533033348022887,11.249611686415541,0,0,0,0.6791818352268065,0,0.6791818352268065,0.6791818352268065,0.688206466984126,0
0.20099997520446777,21.105498760460275,9.643977346007558,20.92058518441025,34.39577067379268,19.242735469321495,14.204141986887977,9.188324585291745,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
0.30299997329711914,22.05487379580091,10.908405199456796,19.932142133057255,34.85280463471498,19.327590048562165,9.310414490451379,5.738131365740667,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
0.40000009536743164,24.403671963686595,15.307357746864547,19.41281881054985,34.547445504683346,16.496258725574094,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
0.500999927520752,23.559605432398694,13.592709886861513,14.974273240305736,27.361409583490033,3.1541959412421714,0,0,0,0,0,0.6791818352268065,0,0.6791818352268065,0,0.6851850106080379,0
0.6050000190734863,9.772121739319532,6.812325951720188,7.181681955675346,13.895063195954052,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
0.7030000686645508,0,0,0,0.6821768194351565,0,0,0,0,0,0,0.6791818352268065,0,0.6791818352268065,0,0.688206466984126,0
0.8059999942779541,0.6791818352268065,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.688206466984126,0
0.9089999198913574,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
1.003000020980835,0,0,0.6791818352268065,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
1.1099998950958252,0.6791818352268065,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
1.2000000476837158,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6821768194351565,0,0,0,0.6821768194351565,0
1.3009998798370361,0,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
1.4000000953674316,0.6791818352268065,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.688206466984126,0
1.5049998760223389,0,0,0,0.6851850106080379,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
1.6059999465942383,0,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
1.7039999961853027,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
1.8020000457763672,0,0,0,0.6851850106080379,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
1.9019999504089355,0.6791818352268065,0,0.6791818352268065,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.688206466984126,0
2.009999990463257,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
2.1080000400543213,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6791818352268065,0
2.2009999752044678,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6791818352268065,0
2.305000066757202,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6791818352268065,0
2.4089999198913574,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
2.506999969482422,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
2.6029999256134033,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
2.7049999237060547,0.6791818352268065,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
2.803999900817871,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
2.9000000953674316,0,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.688206466984126,0
3.002000093460083,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
3.1089999675750732,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.688206466984126,0
3.2019999027252197,0,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.688206466984126,0
3.302000045776367,0.6791818352268065,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
3.4059998989105225,0,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.688206466984126,0
3.5199999809265137,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6821768194351565,0,0,0,0.6851850106080379,0
3.6059999465942383,0,0,0,0.6912412470589104,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
