time,"No,1","No,2","No,3","No,4","No,5","No,6","No,7","No,8","No,9","No,10","No,11","No,12","No,13","No,14","No,15","No,16"
0.10100007057189941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20099997520446777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3020000457763672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40199995040893555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6010000705718994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7009999752044678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8020000457763672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9000000953674316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1000001430511475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2000000476837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3020000457763672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4000000953674316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.502000093460083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6010000705718994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7009999752044678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8010001182556152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9000000953674316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.000999927520752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1010000705718994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2009999752044678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3010001182556152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4019999504089355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.503000020980835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6010000705718994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8010001182556152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9010000228881836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.002000093460083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
