time,"No,1","No,2","No,3","No,4","No,5","No,6","No,7","No,8","No,9","No,10","No,11","No,12","No,13","No,14","No,15"
0.10100007057189941,0,0,65,102,141,164,183,211,234,248,253,258,266,274,279
0.20099997520446777,0,0,89,139,185,215,235,258,281,300,305,309,315,321,321
0.30099987983703613,0,0,78,125,169,197,219,246,269,284,290,295,301,310,311
0.40000009536743164,0,0,52,81,114,133,151,184,202,206,207,212,216,224,229
0.5,0,0,61,92,127,145,161,189,208,216,217,220,224,229,232
0.6029999256134033,0,0,73,115,157,183,203,231,256,275,281,287,294,301,303
0.7130000591278076,0,0,87,137,182,211,232,257,280,298,304,309,315,323,322
0.8059999942779541,0,0,78,123,167,195,216,245,268,282,285,287,290,294,293
0.9000000953674316,0,0,52,81,114,133,151,182,200,206,209,213,219,226,232
1.0099999904632568,0,0,61,93,128,147,163,190,209,218,220,224,228,234,237
1.1029999256134033,0,0,81,128,172,199,220,245,268,288,295,302,308,315,315
1.2130000591278076,0,0,84,133,178,207,229,254,277,294,301,306,313,321,322
1.305999994277954,0,0,75,117,158,181,200,224,242,253,255,257,260,265,264
1.4000000953674316,0,0,52,81,115,133,151,179,197,204,207,212,218,225,230
1.5099999904632568,0,0,62,95,131,149,165,192,209,219,221,225,230,235,239
1.6050000190734863,0,0,87,136,182,211,232,254,277,299,306,312,319,327,327
1.7000000476837158,0,0,83,131,176,205,227,253,275,292,298,304,311,320,321
1.8050000667572021,0,0,65,100,136,155,172,197,210,216,216,219,222,227,231
1.9000000953674316,0,0,55,85,120,138,155,182,199,207,209,214,218,224,229
2.003000020980835,0,0,64,98,134,154,170,195,212,225,230,237,245,254,260
2.1010000705718994,0,0,64,98,134,154,170,195,212,225,230,237,245,254,260
2.2019999027252197,0,0,88,141,187,218,239,264,286,307,314,318,323,331,329
2.300999879837036,0,0,81,128,173,203,225,252,274,290,296,302,308,317,319
2.4000000953674316,0,0,55,86,119,138,155,183,199,204,205,209,213,222,228
2.500999927520752,0,0,58,89,123,141,158,186,204,212,214,217,220,225,229
2.6070001125335693,0,0,66,104,143,166,186,215,237,252,257,263,271,279,284
2.700000047683716,0,0,90,143,189,219,240,264,287,306,312,317,322,329,327
2.809999942779541,0,0,79,125,170,199,221,248,271,287,293,299,305,313,315
2.9029998779296875,0,0,53,81,114,133,150,181,200,204,206,209,214,221,227
3.013000011444092,0,0,59,91,125,143,160,188,206,214,216,219,223,227,231
3.1070001125335693,0,0,74,116,158,183,204,232,257,276,283,289,296,304,306
3.200000047683716,0,0,89,139,185,215,236,261,284,303,308,314,320,327,327
3.309999942779541,0,0,77,123,166,194,215,244,267,282,287,291,294,299,298
3.4029998779296875,0,0,51,80,112,131,149,181,198,202,205,209,214,222,228
3.513000011444092,245,0,63,96,129,147,163,190,208,216,218,221,225,230,234
3.6070001125335693,418,0,86,133,177,205,225,249,273,293,299,305,312,319,320
3.700000047683716,468,0,86,136,181,211,233,258,280,297,303,309,315,323,324
3.800999879837036,508,0,72,112,151,173,192,217,233,242,243,245,247,252,252
3.9010000228881836,538,0,53,84,118,136,154,181,198,206,208,213,219,225,230
4.000999927520752,543,0,63,97,132,152,168,193,210,221,223,227,232,238,243
4.101999998092651,521,0,88,138,185,215,235,258,281,302,310,316,323,330,328
4.200000047683716,542,0,81,129,174,204,225,252,273,290,296,302,309,317,318
4.300999879837036,545,0,58,89,124,143,159,187,202,206,207,210,216,224,229
4.401000022888184,556,0,58,89,123,141,158,185,203,211,213,216,220,225,229
4.500999927520752,556,0,58,89,123,141,158,185,203,211,213,216,220,225,229
4.604000091552734,555,0,66,102,142,165,185,212,235,249,255,261,268,276,281
4.703999996185303,552,0,90,142,189,218,239,262,285,305,310,315,321,327,326
4.812999963760376,558,0,78,125,169,198,219,247,269,285,291,296,302,311,313
4.9070000648498535,477,0,51,80,113,132,151,182,201,205,207,210,215,222,229
5.000999927520752,168,0,56,87,121,140,157,186,206,214,215,218,222,226,230
5.109999895095825,0,0,75,118,162,189,210,238,264,284,290,296,303,310,312
5.203999996185303,1,0,86,135,180,210,231,258,282,300,307,312,319,326,326
5.312999963760376,0,0,76,120,164,191,212,242,261,272,274,276,280,287,286
5.4070000648498535,0,0,51,79,112,130,147,178,198,204,206,211,216,223,229
