time,"No,1","No,2","No,3","No,4","No,5","No,6","No,7","No,8","No,9","No,10","No,11","No,12","No,13","No,14","No,15"
0.10100007057189941,616,0,45,71,100,114,128,158,173,176,176,180,184,189,196
0.20200014114379883,636,0,59,92,124,140,153,178,195,204,205,209,213,219,228
0.3000001907348633,646,0,104,165,220,256,279,303,333,365,377,387,398,407,404
0.40000009536743164,653,0,96,155,206,243,268,298,325,347,356,364,373,384,385
0.5,663,0,61,94,125,142,155,183,193,191,188,186,186,190,194
0.6000001430511475,673,0,49,77,106,121,133,160,175,180,180,183,187,191,196
0.7009999752044678,683,0,63,98,131,148,161,185,205,222,230,241,253,264,273
0.8000001907348633,687,0,107,172,228,265,290,316,345,375,384,391,400,408,405
0.9000000953674316,676,0,94,152,203,239,265,296,323,344,353,360,369,380,381
1.0,688,0,51,79,107,122,135,165,175,172,170,170,174,183,191
1.1010000705718994,681,0,52,80,110,124,137,165,181,186,185,186,189,192,197
1.2020001411437988,685,0,64,103,140,164,183,215,244,263,270,279,291,302,310
1.3010001182556152,693,0,110,174,229,267,291,317,347,374,383,390,397,406,403
1.4000000953674316,707,0,93,150,199,234,260,292,319,340,348,356,363,374,374
1.504000186920166,697,0,44,67,92,109,123,162,177,172,169,171,175,181,188
1.6000001430511475,709,0,56,85,114,128,139,169,187,192,190,191,194,197,201
1.7009999752044678,711,0,76,122,164,190,209,242,276,298,309,320,331,341,345
1.8029999732971191,713,0,106,170,224,261,285,314,344,370,379,387,395,404,402
1.9010000228881836,713,0,91,146,195,229,254,287,315,334,342,347,349,351,345
2.001000165939331,700,0,43,65,93,107,123,158,175,170,169,172,177,185,194
2.1030001640319824,696,0,56,86,115,130,142,172,190,196,195,197,200,205,210
2.200000047683716,703,0,85,137,183,215,236,268,301,327,338,348,359,370,372
2.3010001182556152,703,0,85,137,183,215,236,268,301,327,338,348,359,370,372
2.4079999923706055,707,0,90,143,191,224,246,275,294,304,304,303,302,306,302
2.502000093460083,707,0,90,143,191,224,246,275,294,304,304,303,302,306,302
2.6110000610351562,706,0,43,66,93,107,122,156,172,172,172,175,179,187,195
2.705000162124634,704,0,57,88,118,133,145,174,193,200,201,203,207,211,216
2.814000129699707,703,0,94,151,199,232,255,284,317,347,359,369,379,388,388
2.9079999923706055,700,0,100,161,214,251,276,306,336,360,370,379,388,399,399
3.002000093460083,704,0,86,135,176,202,220,245,261,271,272,273,272,275,273
3.1110000610351562,705,0,42,66,94,108,122,154,168,170,171,175,179,186,194
3.205000162124634,702,0,58,90,121,136,149,176,194,201,202,205,209,214,219
3.314000129699707,706,0,100,160,212,248,271,297,329,358,369,378,389,400,399
3.4079999923706055,707,0,97,157,208,245,271,301,330,353,362,371,380,391,392
3.501000165939331,705,0,73,115,152,175,190,216,229,231,231,229,229,234,235
3.6000001430511475,707,0,44,69,97,112,126,155,170,173,174,176,180,186,192
3.700000047683716,704,0,60,93,125,141,154,179,196,206,207,210,215,222,231
3.8000001907348633,706,0,104,168,220,258,282,306,336,368,380,391,401,409,407
3.9020001888275146,703,0,95,155,206,242,269,299,326,348,357,366,374,385,386
4.001000165939331,696,0,60,91,122,138,152,180,191,189,185,184,183,187,191
4.1000001430511475,700,0,49,77,106,120,133,160,175,181,181,184,187,191,196
4.200000047683716,703,0,62,97,130,148,161,185,208,225,234,244,255,266,275
4.300000190734863,705,0,108,171,227,266,291,317,346,375,384,392,400,409,406
4.400000095367432,702,0,94,152,202,238,264,295,323,344,352,360,368,379,380
4.502000093460083,701,0,51,77,105,120,133,163,174,172,168,171,174,182,191
4.601000070571899,697,0,52,81,110,125,138,165,182,187,185,186,188,193,198
4.700999975204468,693,0,64,104,143,166,186,218,248,266,273,283,295,306,313
4.800000190734863,693,0,64,104,143,166,186,218,248,266,273,283,295,306,313
4.900000095367432,700,0,110,174,228,267,289,316,347,374,382,389,397,405,402
5.0,710,0,92,149,198,234,259,291,319,339,347,355,363,373,373
5.101000070571899,713,0,44,66,93,108,125,160,175,173,170,172,174,180,191
5.200999975204468,702,0,55,84,113,128,140,170,187,193,191,192,195,198,202
5.301000118255615,691,0,77,123,164,191,211,245,277,302,312,322,333,343,348
5.400000095367432,676,0,106,169,223,260,284,313,343,368,377,385,393,402,400
5.5,612,0,90,145,194,228,253,286,314,332,338,340,340,343,338
5.6000001430511475,463,0,41,64,91,104,120,157,173,170,168,172,176,183,192
5.700000047683716,8,0,51,80,111,126,139,168,187,193,192,195,199,204,209
5.801000118255615,3,0,84,136,181,212,235,267,301,328,338,349,361,373,376
5.900000095367432,2,0,104,167,220,257,283,313,345,370,380,387,396,407,406
6.001000165939331,1,0,91,145,193,226,251,285,313,326,327,327,326,329,323
6.1000001430511475,0,0,42,64,90,104,117,153,170,167,167,170,176,182,191
6.203000068664551,0,0,56,85,115,129,141,170,188,194,194,198,202,206,210
6.301000118255615,0,0,87,141,188,220,243,273,306,335,344,356,368,379,381
6.401000022888184,0,0,102,163,216,253,278,309,340,364,373,380,389,400,399
6.501000165939331,0,0,89,142,189,222,246,277,297,308,308,307,307,309,306
6.601000070571899,0,0,43,65,92,106,120,155,171,171,171,174,177,184,192
6.700000047683716,0,0,57,87,117,132,144,172,191,198,198,201,204,208,212
6.800000190734863,0,0,88,142,189,220,242,271,303,331,342,353,364,372,374
6.900000095367432,0,0,100,160,212,248,273,303,332,355,364,372,381,391,391
7.001000165939331,0,0,88,140,188,219,240,268,286,295,295,294,294,298,296
7.1000001430511475,0,0,43,66,94,108,123,156,171,172,172,176,179,186,193
7.200999975204468,0,0,57,87,117,132,145,172,190,198,198,201,204,208,213
7.300000190734863,0,0,57,87,117,132,145,172,190,198,198,201,204,208,213
7.402000188827515,0,0,90,145,193,225,247,276,307,336,347,358,370,378,379
7.502000093460083,0,0,100,161,213,250,275,305,334,357,366,374,383,394,394
7.6000001430511475,0,0,88,140,186,214,233,260,277,285,285,285,286,290,287
7.700000047683716,0,0,43,66,94,109,123,154,170,171,171,174,178,184,193
7.802000045776367,0,0,57,88,118,134,146,173,191,199,199,201,205,209,214
7.900000095367432,0,0,92,149,197,230,253,281,313,343,355,365,376,384,385
8.001000165939331,0,0,100,161,214,250,276,306,334,358,368,376,385,396,396
8.100000143051147,0,0,86,137,180,206,224,251,266,272,272,273,274,277,275
